AFN,18.6573
ALL,1.1731
AMD,8.3292
ANG,6.7456
AOA,5.6349
ARS,10.738
AUD,62.2073
AWG,4.1448
AZN,5.5951
BAM,0.2138
BBD,46.5635
BDT,5.6941
BGN,0.0908
BHD,6.5
BIF,1.4032
BMD,1.0156
BND,0.3733
BOB,51.6407
BRL,9.6268
BSD,5.1721
BTN,5.7791
BWP,4.2627
BYR,5.6184
BZD,9.7474
CAD,18.1519
CDF,0.2223
CHF,9.2638
CLP,8.2707
CNY,7.7678
COP,53.0694
CRC,0.6071
CUC,5.577
CUP,2.0172
CVE,8.6996
CZK,2.6719
DJF,7.4839
DKK,0.827
DOP,8.927
DZD,5.7278
EGP,3.501
ETB,8.2716
FJD,6.9773
FKP,4.6508
GBP,11.3627
GEL,3.8019
GHS,6.7427
GIP,7.7122
GMD,10.7147
GNF,99.657
GTQ,0.3293
GYD,2.9354
HKD,3.2413
HNL,3.4357
HRK,220.3096
HTG,19.1696
HUF,4.1214
IDR,4.0843
ILS,6.4134
INR,45.1352
IQD,12.354
IRR,9.6816
ISK,2.1674
JMD,0.7068
JOD,2.1113
JPY,0.0496
KES,6.6677
KGS,4.826
KHR,1.0393
KMF,3.1009
KPW,1.728
KRW,0.1823
KWD,3.6115
KYD,6.1972
KZT,2.4259
LAK,3.1683
LBP,11.5651
LKR,1.4748
LRD,4.9197
LSL,3.4694
LYD,19.0017
MAD,1.4743
MDL,6.1565
MGA,5.5797
MKD,3.4479
MMK,3.9241
MNT,0.0564
MOP,1.2748
MRO,3.2921
MUR,72.1951
MVR,5.7268
MWK,5.7674
MXN,8.308
MYR,35.9599
MZN,6.2568
NAD,1.3451
NGN,0.1529
NIO,2.3496
NOK,1.0313
NPR,1.1876
NZD,1.8049
OMR,4.0488
PAB,13.1923
PEN,0.3192
PGK,3.1931
PHP,129.3334
PKR,12.217
PLN,0.3341
PYG,6.3525
QAR,2.5715
RON,2.1854
RSD,0.7737
RUB,8.0194
RWF,4.8823
SAR,4.239
SBD,8.6231
SCR,2.908
SDG,7.6726
SEK,4.2921
SGD,6.5796
SHP,4.2215
SLL,2.0541
SOS,1.8724
SRD,3.7889
STD,3.6197
SVC,4.0711
SYP,4.5251
SZL,4.9786
THB,1.1049
TMM,4.5573
TND,4.0674
TOP,7.44
TRY,0.5059
TTD,4.6121
TWD,297.5313
TZS,12.2176
UAH,34.0294
UGX,8.9161
USD,1
UYU,42.397
VEB,0.7576
VND,5.0428
VUV,37.2607
WST,2.61
XAF,2.1281
XCD,30.7174
XOF,4.8433
XPF,0.1658
YER,6.4368
ZAR,6.1592
ZMK,6.0466
ZWD,4.45